,process,id,name,description,processType,lastChange,version,location,category
10,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_CN",6b148724-c95f-305d-8a5c-0d071af12fe9,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S","The dataset represents the production of 1kg of primary aluminium ingot. Molten aluminium produced from the electrolytic process is tapped from reduction cells, weighed, sampled and analysed before it is poured into a holding furnace and heated to approximately 750°C using natural gas as a fuel. Alloying elements, such as magnesium, silicon and manganese, for additional strength, corrosion resistance and other properties, are added to the aluminium. It is typically at this point in the process that clean, sorted scrap can also be added but for the purposes of this dataset, scrap remelting is excluded. During furnace charging and preparation, aluminium dross (a thick liquid or solid phase) forms at the surface of molten aluminium. This mixture of aluminium oxides is remelted to recover the aluminium that would otherwise be lost. Metallurgical analysis verifies that the metal meets customer specifications before the molten, alloyed (or pure, unalloyed) aluminium is cast into products of specific dimensions, before being weighed, bundled and strapped ready for transport.                                  Original dataset included some alloying elements.  These were replaced by liquid aluminium to generate a theoretical 100% aluminium ingot.
For more information on the process, please go to 
http://primary.world-aluminium.org/index.php?id=285;[This dataset is meant to replace the following datasets:] The unit process begins with the unloading of process material to their storage areas on site.  The operations covered by this dataset include:
* pre-treatment of hot metal
* recovery and handling of internal process scrap
* batching, metal treatment and casting operations
* homogenizing, sawing and packaging activities
* maintenance and repair of plant and equipment
* treatment of process air, liquids and solids.
* production of infrastructure (through rough estimate) was also added. From cradle, i.e. including all upstream activities. The output of this unit process is packaged aluminium ingots, wrought alloy.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.205+08:00,03.02.003,China,2420:Manufacture of basic precious and other non-ferrous metals
11,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_UN-OCEANIA",4e9c91e4-64c6-3fb0-b8c7-4b67bbd3ebd9,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S","The dataset represents the production of 1kg of primary aluminium ingot. Molten aluminium produced from the electrolytic process is tapped from reduction cells, weighed, sampled and analysed before it is poured into a holding furnace and heated to approximately 750°C using natural gas as a fuel. Alloying elements, such as magnesium, silicon and manganese, for additional strength, corrosion resistance and other properties, are added to the aluminium. It is typically at this point in the process that clean, sorted scrap can also be added but for the purposes of this dataset, scrap remelting is excluded. During furnace charging and preparation, aluminium dross (a thick liquid or solid phase) forms at the surface of molten aluminium. This mixture of aluminium oxides is remelted to recover the aluminium that would otherwise be lost. Metallurgical analysis verifies that the metal meets customer specifications before the molten, alloyed (or pure, unalloyed) aluminium is cast into products of specific dimensions, before being weighed, bundled and strapped ready for transport. Original dataset included some alloying elements.  These were replaced by liquid aluminium to generate a theoretical 100% aluminium ingot.
For more information on the process, please go to 
http://primary.world-aluminium.org/index.php?id=285;[This dataset is meant to replace the following datasets:] The unit process begins with the unloading of process material to their storage areas on site.  The operations covered by this dataset include:
* pre-treatment of hot metal
* recovery and handling of internal process scrap
* batching, metal treatment and casting operations
* homogenizing, sawing and packaging activities
* maintenance and repair of plant and equipment
* treatment of process air, liquids and solids.
* production of infrastructure (through rough estimate) was also added. From cradle, i.e. including all upstream activities. The output of this unit process is packaged aluminium ingots, wrought alloy.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.208+08:00,03.02.003,Oceania,2420:Manufacture of basic precious and other non-ferrous metals
12,"aluminium, ingot, primary, import from Asia (excluding China) | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",4c2c7dc9-9de7-3b97-b360-1f82b6a493a9,"aluminium, ingot, primary, import from Asia (excluding China) | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from Asia (excluding China) to EU27+ EFTA. The import value is valid for 2015 and includes all  imports, independently whether used within the importing region, or re-exported. EAA statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.221+08:00,03.02.003,"Aluminium producing area, EU27 and EFTA countries",2420:Manufacture of basic precious and other non-ferrous metals
13,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",db85fafc-2538-39b2-8cd2-d3524a141828,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S","The dataset represents the production of 1kg of primary aluminium ingot. Molten aluminium produced from the electrolytic process is tapped from reduction cells, weighed, sampled and analysed before it is poured into a holding furnace and heated to approximately 750°C using natural gas as a fuel. Alloying elements, such as magnesium, silicon and manganese, for additional strength, corrosion resistance and other properties, are added to the aluminium. It is typically at this point in the process that clean, sorted scrap can also be added but for the purposes of this dataset, scrap remelting is excluded. During furnace charging and preparation, aluminium dross (a thick liquid or solid phase) forms at the surface of molten aluminium. This mixture of aluminium oxides is remelted to recover the aluminium that would otherwise be lost. Metallurgical analysis verifies that the metal meets customer specifications before the molten, alloyed (or pure, unalloyed) aluminium is cast into products of specific dimensions, before being weighed, bundled and strapped ready for transport. Original dataset included some alloying elements.  These were replaced by liquid aluminium to generate a theoretical 100% aluminium ingot.
For more information on the process, please go to 
http://primary.world-aluminium.org/index.php?id=285;[This dataset is meant to replace the following datasets:] The unit process begins with the unloading of process material to their storage areas on site.  The operations covered by this dataset include:
* pre-treatment of hot metal
* recovery and handling of internal process scrap
* batching, metal treatment and casting operations
* homogenizing, sawing and packaging activities
* maintenance and repair of plant and equipment
* treatment of process air, liquids and solids.
* production of infrastructure (through rough estimate) was also added. From cradle, i.e. including all upstream activities. The output of this unit process is packaged aluminium ingots, wrought alloy.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.247+08:00,03.04.003,"Aluminium producing area, EU27 and EFTA countries",2420:Manufacture of basic precious and other non-ferrous metals
14,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, Asia, without China and GCC",2b7c2654-ba90-3177-ba8b-c909dfdd2c89,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S","The dataset represents the production of 1kg of primary aluminium ingot. Molten aluminium produced from the electrolytic process is tapped from reduction cells, weighed, sampled and analysed before it is poured into a holding furnace and heated to approximately 750°C using natural gas as a fuel. Alloying elements, such as magnesium, silicon and manganese, for additional strength, corrosion resistance and other properties, are added to the aluminium. It is typically at this point in the process that clean, sorted scrap can also be added but for the purposes of this dataset, scrap remelting is excluded. During furnace charging and preparation, aluminium dross (a thick liquid or solid phase) forms at the surface of molten aluminium. This mixture of aluminium oxides is remelted to recover the aluminium that would otherwise be lost. Metallurgical analysis verifies that the metal meets customer specifications before the molten, alloyed (or pure, unalloyed) aluminium is cast into products of specific dimensions, before being weighed, bundled and strapped ready for transport. Original dataset included some alloying elements.  These were replaced by liquid aluminium to generate a theoretical 100% aluminium ingot.
For more information on the process, please go to 
http://primary.world-aluminium.org/index.php?id=285;[This dataset is meant to replace the following datasets:] The unit process begins with the unloading of process material to their storage areas on site.  The operations covered by this dataset include:
* pre-treatment of hot metal
* recovery and handling of internal process scrap
* batching, metal treatment and casting operations
* homogenizing, sawing and packaging activities
* maintenance and repair of plant and equipment
* treatment of process air, liquids and solids.
* production of infrastructure (through rough estimate) was also added. From cradle, i.e. including all upstream activities. The output of this unit process is packaged aluminium ingots, wrought alloy.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.260+08:00,03.02.003,"IAI Area, Asia, without China and GCC",2420:Manufacture of basic precious and other non-ferrous metals
15,"aluminium, ingot, primary, import from unspecified | aluminium, primary, ingot | Cutoff, S_IAI Area, North America",addebcac-be13-436a-8fc8-836e8c0ec9dd,"aluminium, ingot, primary, import from unspecified | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of primary aluminium from other regions (US and  imported form the rest of the world)  used in North America. This value is valid for 2016 and includes all other imports, independently whether used within the importing region, or re-exported. AA and AAC statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.263+08:00,03.01.003,"IAI Area, North America",2420:Manufacture of basic precious and other non-ferrous metals
16,"aluminium, ingot, primary, import from Middle East (Gulf cooperation Council) | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",b1ffab63-6599-368f-b320-b2a283fb7c57,"aluminium, ingot, primary, import from Middle East (Gulf cooperation Council) | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from Middle East (Gulf Council Cooperation)  to EU27 & EFTA. The import value is valid for 2015 and includes all  imports, independently whether used within the importing region, or re-exported. EAA statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.291+08:00,03.02.003,"Aluminium producing area, EU27 and EFTA countries",2420:Manufacture of basic precious and other non-ferrous metals
17,"aluminium, ingot, primary, import from South America | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",785981d4-96c1-33c4-a1ac-4664e0667c18,"aluminium, ingot, primary, import from South America | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from South America to EU27 & EFTA. The import value is valid for 2015 and includes all  imports, independently whether used within the importing region, or re-exported. EAA statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.308+08:00,03.02.003,"Aluminium producing area, EU27 and EFTA countries",2420:Manufacture of basic precious and other non-ferrous metals
18,"aluminium, ingot, primary, import from South America | aluminium, primary, ingot | Cutoff, S_IAI Area, North America",c6df25d7-56fb-4e56-9a0b-33fa0f30be8a,"aluminium, ingot, primary, import from South America | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from South America to North America. The import value is valid for 2016 and includes all imports, independently whether used within the importing region, or re-exported. AA and AAC statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.316+08:00,03.01.003,"IAI Area, North America",2420:Manufacture of basic precious and other non-ferrous metals
19,"market for aluminium, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",a92298fa-2769-37b2-87ab-8ee134fb4f35,"market for aluminium, primary, ingot | aluminium, primary, ingot | Cutoff, S","In 2012, the global consumption of primary aluminium is estimated at 50 million tonnes. 50% of this consumption is made in China. Moreover, China, represents about 50% of the primary aluminium production. Thus, China is a balance market and almost self sufficient. However, Europe has a huge deficit of primary aluminium.  About 45% - 50%  of the European consumption of primary is from imports. These  imports are coming mainly from 3 areas (Rest of Europe, Middle East and Africa).  From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.329+08:00,03.02.003,"Aluminium producing area, EU27 and EFTA countries",2420:Manufacture of basic precious and other non-ferrous metals
20,"aluminium, ingot, primary, import from Oceania | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",fb3dd8b9-d4f6-3f9f-be84-1c00f4516da9,"aluminium, ingot, primary, import from Oceania | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from Oceania to EU27 & EFTA. The import value is valid for 2015 and includes all  imports, independently whether used within the importing region, or re-exported. EAA statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.339+08:00,03.02.003,"Aluminium producing area, EU27 and EFTA countries",2420:Manufacture of basic precious and other non-ferrous metals
21,"aluminium, ingot, primary, import from Africa | aluminium, primary, ingot | Cutoff, S_IAI Area, North America",cda45929-a807-4948-94e7-a2638b18f289,"aluminium, ingot, primary, import from Africa | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from Africa to North America. The import value is valid for 2016 and includes all imports, independently whether used within the importing region, or re-exported. AA and AAC statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.377+08:00,03.01.003,"IAI Area, North America",2420:Manufacture of basic precious and other non-ferrous metals
22,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, Gulf Cooperation Council",cdeb3495-6d13-3177-b8d1-f020a660ad1b,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S","The dataset represents the production of 1kg of primary aluminium ingot. Molten aluminium produced from the electrolytic process is tapped from reduction cells, weighed, sampled and analysed before it is poured into a holding furnace and heated to approximately 750°C using natural gas as a fuel. Alloying elements, such as magnesium, silicon and manganese, for additional strength, corrosion resistance and other properties, are added to the aluminium. It is typically at this point in the process that clean, sorted scrap can also be added but for the purposes of this dataset, scrap remelting is excluded. During furnace charging and preparation, aluminium dross (a thick liquid or solid phase) forms at the surface of molten aluminium. This mixture of aluminium oxides is remelted to recover the aluminium that would otherwise be lost. Metallurgical analysis verifies that the metal meets customer specifications before the molten, alloyed (or pure, unalloyed) aluminium is cast into products of specific dimensions, before being weighed, bundled and strapped ready for transport. Original dataset included some alloying elements.  These were replaced by liquid aluminium to generate a theoretical 100% aluminium ingot.
For more information on the process, please go to 
http://primary.world-aluminium.org/index.php?id=285;[This dataset is meant to replace the following datasets:] The unit process begins with the unloading of process material to their storage areas on site.  The operations covered by this dataset include:
* pre-treatment of hot metal
* recovery and handling of internal process scrap
* batching, metal treatment and casting operations
* homogenizing, sawing and packaging activities
* maintenance and repair of plant and equipment
* treatment of process air, liquids and solids.
* production of infrastructure (through rough estimate) was also added. From cradle, i.e. including all upstream activities. The output of this unit process is packaged aluminium ingots, wrought alloy.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.379+08:00,03.02.003,"IAI Area, Gulf Cooperation Council",2420:Manufacture of basic precious and other non-ferrous metals
23,"aluminium, ingot, primary, import from Africa | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",ec80823b-b373-3ab7-85d0-c7a61c544e1d,"aluminium, ingot, primary, import from Africa | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from Africa to EU27 & EFTA. The import value is valid for 2015 and includes all  imports, independently whether used within the importing region, or re-exported. EAA statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.381+08:00,03.02.003,"Aluminium producing area, EU27 and EFTA countries",2420:Manufacture of basic precious and other non-ferrous metals
24,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_CA",0f774da3-778b-48c9-a3a9-81226479583a,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S","The dataset represents the production of 1kg of primary aluminium ingot. Molten aluminium produced from the electrolytic process is tapped from reduction cells, weighed, sampled and analysed before it is poured into a holding furnace and heated to approximately 750°C using natural gas as a fuel. Alloying elements, such as magnesium, silicon and manganese, for additional strength, corrosion resistance and other properties, are added to the aluminium. It is typically at this point in the process that clean, sorted scrap can also be added but for the purposes of this dataset, scrap remelting is excluded. During furnace charging and preparation, aluminium dross (a thick liquid or solid phase) forms at the surface of molten aluminium. This mixture of aluminium oxides is remelted to recover the aluminium that would otherwise be lost. Metallurgical analysis verifies that the metal meets customer specifications before the molten, alloyed (or pure, unalloyed) aluminium is cast into products of specific dimensions, before being weighed, bundled and strapped ready for transport. Original dataset included some alloying elements.  These were replaced by liquid aluminium to generate a theoretical 100% aluminium ingot.
For more information on the process, please go to 
http://primary.world-aluminium.org/index.php?id=285;[This dataset is meant to replace the following datasets:Unable to replace dataset! Dataset not found by activity index entry id 'faf472ac-a83b-4d59-af57-a3f16dd5e4d9'.
 - aluminium production, primary, ingot, IAI Area, North America, without Quebec, 2012 - 2012 (0218e76b-670a-4cab-a012-344d28e4e85c)] The unit process begins with the unloading of process material to their storage areas on site.  The operations covered by this dataset include:
* pre-treatment of hot metal
* recovery and handling of internal process scrap
* batching, metal treatment and casting operations
* homogenizing, sawing and packaging activities
* maintenance and repair of plant and equipment
* treatment of process air, liquids and solids.
* production of infrastructure (through rough estimate) was also added. From cradle, i.e. including all upstream activities. The output of this unit process is packaged aluminium ingots, wrought alloy.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.462+08:00,03.01.003,Canada,2420:Manufacture of basic precious and other non-ferrous metals
25,"aluminium, ingot, primary, import from Rest of Europe | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",d8c2f07f-2796-3488-9491-e100d6b35662,"aluminium, ingot, primary, import from Rest of Europe | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from Rest of Europe to EU27 & EFTA. The import value is valid for 2015 and includes all  imports, independently whether used within the importing region, or re-exported. EAA statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.486+08:00,03.02.003,"Aluminium producing area, EU27 and EFTA countries",2420:Manufacture of basic precious and other non-ferrous metals
